course_id,neg_count,pos_count,num_chapters,n_videos,n_exercises,n_problems,n_users_content_interaction,assignment_coverage,video_coverage,discussion_coverage,problems_attempted,attempts_total,correct_total,correct_rate_course,comments_total,commenters_total,views_total,viewers_total,unique_videos_viewed,enrollment_count,num_inactive_users,inactive_rate,avg_video_duration_sec,avg_exercise_correct_rate_course,avg_exercise_attempt_rate_course,avg_video_access_rate_course,qs_rank,progress_ratio,CQS_num,course_name,CQV,CQS
C_1907850,0,0,12,29,10,243,7.0,0.0,1,0.0,50,63,37,0.0,0.0,0.0,17.0,7.0,6,81,74.0,0.9135802469135802,,0.0,0.0,0.0738916256157635,,0.0,0,食品分析技术,0.1187273072903994,Needs Improvement
C_1755895,3,1,20,61,19,80,10.0,0.0,1,1.0,80,115,71,0.0,14.0,2.0,15.0,9.0,5,225,215.0,0.9555555555555556,1211.8858518518518,0.0,0.0,0.0255009107468123,20.0,0.0,2,World Arena: Facing Globalization,0.3701522389927758,Excellent
C_1925897,0,1,10,78,18,319,161.0,0.0,1,1.0,171,608,384,0.0,3.0,3.0,1319.0,160.0,31,6960,6799.0,0.976867816091954,614.31385,0.85,0.1111111111111111,0.0459935897435897,484.0,0.0,1,农药学,0.2462815895240311,Acceptable
C_681552,0,0,3,5,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,微软人工智能 – 数据分析平台,0.0,Needs Improvement
C_681863,0,0,15,92,14,98,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,毛泽东思想和中国特色社会主义理论体系概论,0.0,Needs Improvement
C_1641666,0,1,11,46,11,168,3.0,0.0,0,1.0,9,9,4,0.0,1.0,1.0,0.0,0.0,0,204,201.0,0.9852941176470588,630.4971304347825,0.5858585858585859,0.1363636363636363,0.0,,0.0,0,生物与环境,0.0930073802509474,Needs Improvement
C_681502,0,2,10,73,10,82,3.0,0.0,0,1.0,82,186,125,0.0,4.0,3.0,0.0,0.0,0,1142,1139.0,0.9973730297723292,,0.0,0.0,0.0,,0.0,2,出口业务操作,0.3738164503980112,Excellent
C_1814513,0,0,11,51,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,770.05296,0.0,0.0,0.0,20.0,0.0,0,金融市场与金融机构,0.0,Needs Improvement
C_756747,2,0,5,22,24,104,63.0,0.0,0,1.0,0,0,0,0.0,193.0,63.0,0.0,0.0,0,12673,12610.0,0.9950288013887792,,0.0,0.0,0.0,385.0,0.0,1,城市规划原理,0.2384226894136091,Acceptable
C_735197,0,0,17,69,17,213,684.0,0.0,1,1.0,184,3302,2709,0.0,734.0,48.0,19156.0,627.0,34,7760,7076.0,0.9118556701030928,,0.8825375619414213,0.624103299856528,0.0603749162101564,385.0,0.0,2,机械设计基础,0.4138164077003802,Excellent
C_747261,0,0,11,36,38,193,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,1532.225,0.0,0.0,0.0,,0.0,0,大国航母与舰载机-建错待删勿用,0.0,Needs Improvement
C_788527,0,0,9,44,36,190,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,1.0,355.33745454545453,0.0,0.0,0.0,,0.0,0,影像剪辑与合成（2019暑期课）,0.0,Needs Improvement
C_682458,8,23,18,64,9,154,93.0,0.0,0,1.0,0,0,0,0.0,251.0,93.0,0.0,0.0,0,22077,21984.0,0.995787471123794,696.716765625,0.0,0.0,0.0,20.0,0.0,1,会计学原理,0.2281819352982207,Acceptable
C_1910420,0,0,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,,0.0,0,“抗击疫情”专题在线公益讲座——西南石油大学,0.0,Needs Improvement
C_1687739,0,0,7,80,7,166,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,,0.0,0.0,0.0,396.0,0.0,0,数值分析,0.0,Needs Improvement
C_681870,0,0,10,16,15,30,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,440.6745625,0.0,0.0,0.0,396.0,0.0,0,工程流体力学,0.0,Needs Improvement
C_680724,0,6,6,30,6,147,9.0,0.0,0,1.0,0,0,0,0.0,14.0,9.0,0.0,0.0,0,2241,2232.0,0.9959839357429718,,0.0,0.0,0.0,336.0,0.0,1,质量管理,0.2339676537145735,Acceptable
C_890125,0,0,8,23,23,23,45.0,0.0,1,1.0,23,248,201,0.0,21.0,12.0,49.0,29.0,5,3782,3737.0,0.9881015335801164,,0.6,0.0869565217391304,0.0734632683658171,,0.0,1,体育统计学与SPSS案例解析,0.2912966163770706,Acceptable
C_681066,0,0,6,43,25,114,0.0,0.0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0,739,739.0,1.0,233.36784210526312,0.0,0.0,0.0,82.0,0.0,0,基本人体生物学：细胞和组织,0.1666666666666666,Needs Improvement
C_697241,0,0,20,20,20,88,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,590,590.0,1.0,,0.0,0.0,0.0,,0.0,0,普通地质学,0.0,Needs Improvement
C_677009,1,23,8,27,20,69,8.0,0.0,1,1.0,9,9,5,0.0,30.0,7.0,4.0,2.0,4,3650,3642.0,0.9978082191780822,,0.0,0.0,0.074074074074074,385.0,0.0,0,大学美育,0.0745714414180584,Needs Improvement
